04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/wsgiref/handlers.py first seen with mtime 1571093419.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/lib-dynload/_blake2.cpython-37m-darwin.so first seen with mtime 1571093405.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ctypes/_endian.py first seen with mtime 1571093419.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/contrib/gis/geos/prototypes/geom.py first seen with mtime 1585936083.080787
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/views/generic/dates.py first seen with mtime 1585936083.65317
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py first seen with mtime 1571093419.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/db/models/__init__.py first seen with mtime 1585936083.573055
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/contrib/gis/geos/point.py first seen with mtime 1585936083.078733
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ctypes/macholib/__init__.py first seen with mtime 1571093420.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/shutil.py first seen with mtime 1571093417.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/middleware/cache.py first seen with mtime 1585936083.612962
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/psycopg2/errors.py first seen with mtime 1571532330.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/pkg_resources/_vendor/six.py first seen with mtime 1585936005.675267
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/plistlib.py first seen with mtime 1571093417.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/unittest/main.py first seen with mtime 1571093420.0
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/forms/boundfield.py first seen with mtime 1585936083.590467
04-04-2020 09:50:41 DEBUG [django.utils.autoreload: 349] -- File /Users/vikram/Documents/src/personal/BugFighters_back/hack-env/lib/python3.7/site-packages/django/utils/deprecation.py first seen with mtime 1585936083.637222
